GRB 020214 |2002-02-14 18:49:47.700|14.2|0.3|0.2|0.603|0.016
GRB 020218 |2002-02-18 19:49:41.750|34|0.6|0.5|-0.112|0.011
GRB 020302 |2002-03-02 12:23:54.400|48.8|3.2|0.8|0.165|0.053
GRB 020306 |2002-03-06 18:58:02.893|0.135|0.016|0.015|0.416|0.04
GRB 020311 |2002-03-11 01:21:31.550|10.8|0.6|0.3|0.0655|0.0388
GRB 020313 |2002-03-13 01:17:53.400|23.2|1|0.4|-0.517|0.05
GRB 020315 |2002-03-15 15:42:47.550|12.6|1.1|0.3|0.0297|0.0694
GRB 020331 |2002-03-31 10:23:26.750|39|5.3|0.5|-0.046|0.105
GRB 020407 |2002-04-07 04:14:44.300|21|0.9|0.6|-0.0172|0.0276
GRB 020409 |2002-04-09 09:27:23.500|146|14|1|0.0884|0.0737
GRB 020413 |2002-04-13 16:20:15.500|9|0.64|0.2|-0.0289|0.0557
GRB 020417 |2002-04-17 05:36:26.250|78.5|5.2|0.5|-0.162|0.058
GRB 020418 |2002-04-18 17:43:08.850|3.4|0.13|0.1|0.181|0.02
GRB 020426 |2002-04-26 23:56:14.795|0.12|0.032|0.03|0.074|0.0713
GRB 020430 |2002-04-30 21:22:01.650|13.5|0.5|0.3|-0.273|0.032
GRB 020509 |2002-05-09 00:01:17.675|3.5|0.38|0.05|0.0832|0.0852
GRB 020524 |2002-05-24 02:12:47.300|14.8|0.8|0.2|0.0746|0.0426
GRB 020525A|2002-05-25 03:47:53.650|7.6|0.61|0.1|0.11|0.065
GRB 020525B|2002-05-25 04:26:53.210|0.18|0.029|0.02|0.278|0.096
GRB 020527 |2002-05-27 05:17:20.525|1.65|0.18|0.05|0.194|0.088
GRB 020602 |2002-06-02 17:30:28.085|1.75|0.19|0.07|-0.249|0.091
GRB 020603 |2002-06-03 17:50:34.905|1.44|0.06|0.03|-0.0007|0.0308
GRB 020604 |2002-06-04 14:13:42.850|7.2|0.41|0.3|-0.0137|0.0319
GRB 020620 |2002-06-20 12:58:06.875|3.45|0.22|0.05|-0.263|0.056
GRB 020623 |2002-06-23 04:23:07.350|6.6|0.46|0.1|-0.284|0.066
GRB 020630 |2002-06-30 07:58:52.650|33|2.6|0.3|-0.148|0.066
GRB 020702 |2002-07-02 15:54:16.250|36.9|2.4|0.3|-0.385|0.071
GRB 020708 |2002-07-08 04:34:12.500|27|4|1|-0.3|0.129
GRB 020712 |2002-07-12 06:09:44.100|18|2|0.2|-0.151|0.093
GRB 020715A|2002-07-15 15:14:26.735|0.24|0.04|0.03|0.192|0.088
GRB 020715B|2002-07-15 19:21:09.100|6.4|0.21|0.2|0.105|0.01
GRB 020725 |2002-07-25 16:25:41.150|5|0.31|0.1|0.237|0.051
GRB 020801 |2002-08-01 11:52:41.550|14.3|0.9|0.1|-0.0854|0.053
GRB 020819A|2002-08-19 07:56:39.455|1.05|0.08|0.03|0.185|0.06
GRB 020819B|2002-08-19 14:57:38.600|9.2|0.75|0.4|-0.213|0.064
GRB 020828 |2002-08-28 05:45:37.925|0.66|0.045|0.03|0.341|0.048
GRB 020910 |2002-09-10 19:57:43.150|28.5|1|0.3|0.133|0.029
GRB 020914 |2002-09-14 21:53:20.100|10.8|0.9|0.2|-0.254|0.073
GRB 020926 |2002-09-26 04:52:54.200|22.4|1.5|0.8|-0.205|0.053
GRB 021008A|2002-10-08 07:01:03.550|14.5|0.1|0.1|0.134|0.003
GRB 021008B|2002-10-08 14:30:04.500|14.2|1.2|0.2|0.0009|0.0692
GRB 021011 |2002-10-11 04:38:11.250|51|3.2|0.5|-0.294|0.061
GRB 021016 |2002-10-16 10:29:43.500|83|5.4|1|-0.154|0.055
GRB 021020 |2002-10-20 20:12:57.350|14.4|0.4|0.3|-0.0064|0.0186
GRB 021023 |2002-10-23 02:53:47.300|13.6|0.5|0.2|-0.006|0.0285
GRB 021025 |2002-10-25 20:18:30.150|18.6|2.2|0.3|-0.122|0.095
GRB 021102 |2002-11-02 15:58:31.850|10.8|0.5|0.3|-0.404|0.041
GRB 021105 |2002-11-05 05:27:18.650|6.4|0.8|0.1|-0.0992|0.0989
GRB 021108 |2002-11-08 05:39:55.800|22|1.7|0.4|-0.599|0.107
GRB 021109 |2002-11-09 08:42:49.000|19.6|1.3|0.4|-0.0287|0.0523
