# #hd,t90
5.206974225885143692e-01,4.833898115596201528e+00
1.346010267967483465e+00,5.380118527236436243e+00
1.471665251215285908e+00,3.135494215929149675e+00
1.087216374128351593e+00,-7.339691750802004311e-01
5.848256018308430892e-01,5.028763317411163669e+00
3.977234266902500148e-01,-1.650259906954355538e+00
8.846807071559936730e-01,5.718986308398473994e+00
1.858102248747046215e+00,4.564348191467836102e+00
1.119565654583845937e+00,3.518802623736418944e+00
1.386684383662389441e+00,2.166994438687697588e+00
5.069998487316264013e-01,5.756842873461323506e+00
1.041425055979998016e+00,2.858766418480833682e+00
1.726762642362428046e+00,5.792257224837242369e+00
8.206725748626700900e-01,2.445472580542593199e+00
1.007261984276345057e+00,2.881891457130231426e+00
7.777770450681686931e-01,1.609437912434100282e+00
8.813816469981221591e-01,2.191876971009623976e+00
1.135076203022258090e+00,4.382026634673881205e+00
1.373331057409258538e+00,4.864298451021811687e+00
1.389985144272096518e+00,4.700989327158694664e+00
7.200097944886191259e-01,5.075173815233826602e+00
1.538270922851957989e+00,4.720924498509933009e+00
1.049010438375759469e+00,5.129567299064158092e+00
1.090559960835952191e+00,4.963236161992962359e+00
1.244994438113847357e+00,5.495511115339678732e+00
1.716035950370051300e+00,3.618886082293401252e+00
1.199380348727457912e+00,5.008820314683806174e+00
1.894372340311135439e+00,2.693274915520055490e+00
1.458342450877367469e+00,2.841181513705393069e+00
1.583393307238666781e+00,4.317488113536310124e+00
1.140494242055596796e+00,1.789826555284399490e-01
1.414213062365539342e+00,-4.422851962533025372e+00
1.661089409060837241e+00,4.456066747382346094e+00
1.259711525256220765e+00,1.978515623089875497e+00
1.189527996885399341e+00,6.175875586079499158e+00
1.404746182653032305e+00,5.299256925024702802e+00
1.106113258903145713e+00,1.367111541703116551e+00
1.274268529970663977e+00,4.382026634673881205e+00
1.009155834478416836e+00,-1.217396162495971712e+00
9.745573008991678110e-01,1.098612288668109782e+00
1.231613239155003869e+00,4.228933728540056336e+00
1.108730798502661763e+00,3.644718558328166491e+00
4.730182469434273673e-01,-2.024953356395766235e+00
1.417412319366837092e+00,4.348883416080627562e+00
5.427894028718941583e-02,4.103039980589324287e+00
4.062671622613931582e-02,3.153419549389584908e+00
1.585260200698554778e+00,5.037679610806246266e+00
1.359606751093813903e+00,4.710466699597830598e+00
9.961182722095132114e-01,5.156684675413083951e+00
1.585425032232415932e+00,4.898913849818467448e+00
1.796849833091265447e+00,4.382976183709470064e+00
1.027087434137418542e+00,5.345468092334368926e+00
1.573611765320549916e+00,2.028674424626182748e+00
1.233715108400962990e+00,4.255328981627924279e+00
4.609161364882018441e-01,2.693545514899328364e+00
1.025707230687128435e+00,3.325179895238239425e+00
1.150785682357499118e+00,4.093210586180897614e+00
6.791912625535151404e-01,4.545292784932676966e+00
9.530005051405586736e-01,4.941270925041198581e+00
1.144184073496699483e+00,2.386926241427796747e+00
1.153964770971438902e+00,2.721821605186128146e+00
1.633118756663825444e+00,3.674374767911054551e+00
1.144580686625562338e+00,4.291816347254804320e-01
9.637152911753626983e-01,5.077022106091444442e+00
1.753733838758766206e+00,5.898164345942522147e+00
1.050880800688000161e+00,3.407576988626194403e+00
9.012119033038390459e-01,1.477048724388354772e+00
1.003658845528376364e+00,1.386294361119890572e+00
1.655847402159804194e+00,3.865434416013553864e+00
1.396010188165658361e+00,5.622774857162433193e+00
1.293714572168429999e+00,4.334463217742271723e+00
1.340291822170010944e-02,-1.737271283943985223e+00
1.364185124063777010e+00,6.461468176353717396e+00
1.184911427843071685e+00,5.366872809043542247e+00
1.559301205201419460e+00,1.007957920399978891e+00
1.223394139802108427e+00,4.492494087699852479e+00
1.294503940174047241e+00,3.254397396935279296e+00
1.770785939420056021e+00,5.498527956177730935e+00
8.809724203542280696e-01,4.796913881360950427e+00
9.546930664357191620e-01,5.616494695834740369e+00
1.800427926147110114e+00,1.444563269243866355e+00
