161220A |   727610   | N/A
161219B |   727541   | PL
161218A |   727288   | CPL
161217A |   727167   | PL
161214B |   726885   | PL
161202A |   725036   | PL
161129A |   724438   | PL
161117B |   722642   | CPL
161117A |   722604   | CPL
161113A |   722063   | PL
161108A |   721234   | PL
161105A |   720697   | PL
161104A |   720568   | PL
161022A |   718655   | PL
161017A |   718023   | PL
161014A |   717500   | PL
161011A |   716876   | PL
161007A |   716127   | PL
161004B |   715246   | CPL
161004A |   715084   | N/A
161001A |   714404   | PL
160927A |   713782   | PL
160917A |   712505   | PL
160912A |   711914   | PL
160905A |   711084   | PL
160827A |   710050   | PL
160826A |   709907   | N/A
160824A |   709765   | PL
160821B |   709357   | N/A
160821A |   709351   | PL
160819A |   00086022006  | PL
160815A |   708598   | CPL
160804A |   707231   | CPL
160801A |   706871   | PL
160726A |   706052   | PL
160716A |   704572   | PL
160714A |   704310   | PL
160712A |   704155   | PL
160709A |   703769   | PL
160705B |   703176   | PL
160703A |   702699   | PL
160630A |   702252   | PL
160625A |   701503   | PL
160624A |   701288   | PL
160623A |   N/A      | N/A
160612A |   00031791037  | N/A
160611A |   690598   | PL
160607A |   689597   | PL
160601A |   688452   | PL
160525B |   687522   | PL
160525A |   687492   | N/A
160519A |   686818   | PL
160506A |   685245   | PL
160504A |   685124   | PL
160501A |   684679   | PL
160425A |   684098   | PL
160424A |   683906   | PL
160419A |   683383   | CPL
160417A |   683076   | PL
160412A |   682522   | PL
160411A |   682339   | PL
160410A |   682269   | PL
160409A |   682162   | N/A
160408A |   682059   | N/A
160327A |   680655   | PL
160325A |   680436   | PL
160321A |   680017   | PL
160314A |   679120   | PL
160313A |   678929   | N/A
160303A |   677495   | PL
160228A |   676595   | PL
160227A |   676423   | CPL
160225A |   675998   | PL
160223A |   675361   | PL
160220B |   674734   | CPL
160220A |   674670   | PL
160216A |   673978   | PL
160203A |   672525   | PL
160131A |   672236   | PL
160127A |   671828   | PL
160123A |   671447   | PL
160121A |   671231   | PL
160119A |   671014   | PL
160117B |   670800   | PL
160117A |   670793   | PL
160104A |   669319   | PL
151229A |   668689   | PL
151228B |   668641   | CPL
151228A |   668543   | CPL
151215A |   667392   | PL
151210A |   666931   | PL
151205B |   666378   | PL
151205A |   666352   | PL
151127A |   665268   | PL
151122A |   664653   | PL
151118A |   664078   | PL
151114A |   663490   | N/A
151112A |   663179   | N/A
151111A |   663074   | N/A
151107A |   662757   | N/A
151031A |   662330   | PL
151029A |   662086   | N/A
151027B |   661869   | PL
151027A |   661775   | PL
151023A |   661253   | PL
151022A |   661036   | PL
151021A |   660671   | PL
151006A |   657750   | PL
151004A |   657564   | PL
151001B |   657321   | PL
151001A |   657286   | PL
150925A |   656604   | PL
150915A |   655721   | PL
150911A |   655262   | CPL
150910A |   655097   | PL
150907B |   654803   | PL
150901A |   654042   | PL
150831B |   653978   | PL
150831A |   653838   | PL
150821A |   652847   | PL
150819A |   652643   | PL
150818A |   652603   | PL
150817A |   652334   | PL
150811A |   651882   | PL
150801B |   650977   | PL
150728A |   650617   | PL
150727A |   650530   | N/A
150724A |   650141   | PL
150722A |   649916   | PL
150720A |   649706   | PL
150716A |   649157   | PL
150711A |   648601   | N/A
150710B |   00084694006   | N/A
150710A |   648437   | PL
150626B |   646786   | PL
150626A |   646603   | PL
150616A |   644259   | PL
150615A |   643833   | PL
150607A |   642620   | CPL
150530A |   642018   | PL
150527A |   641698   | PL
150530B |   00084922008   | PL
150513A |   640584   | PL
150430A |   639433   | PL
150428B |   639278   | CPL
150428A |   639275   | PL
150424A |   638946   | PL
150423A |   638808   | N/A
150413A |   637899   | PL
150407A |  637342  | N/A
150403A |   637044   | PL
